from,to,value,gas,gas_used,input,tx_hash,fuzz_string,victim_balance_before_tx,victim_balance_after_tx,attacker_balance_before_tx,attacker_balance_after_tx
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x05174f8a28347D3dE0661EAf40B04d10D670520f,0,3000000,225983,0x8f088f920000000000000000000000001467567f3c0703580bef6f9a7f9309f0ff52b9ab,0x6646830cd8d666ad3b25915e3ccae15549b54c6429f8d09c861a66e825c1b368,"safes.sol,safe,68",100000000000000000000,5500000000000000000,0,4500000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x06174eD517CbD89cF41B15346a477f0990F16d96,0,3000000,221896,0x8f088f920000000000000000000000003a8060451284a0a4c6f167255ea2fb38bb35163e,0x2627d9771813b36fa4bfe5d36ba543432edea50593401fe6e21c890ddb26b661,"vulnerables.sol,vul,71",10000000000000000000,85000000000000000000,0,15000000000000000000
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x2c751B7803EaA63903D51132405f3aCF13A66a2F,0,3000000,225983,0x8f088f92000000000000000000000000eba533285e546e68fd8cca939c62209f1ea41f0c,0x06bf70511b5bb166522ea1e0fec35ef902239fc76d098d2a8a54dd9cafde16dd,"safes.sol,safe,70",10000000000000000000,5500000000000000000,0,4500000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0xe2b0509E2165D2ff5D5Ff245fB9478c9564bd02c,0,3000000,201295,0x8f088f92000000000000000000000000658b053558f0309afc430cafcd2f09ce14f1feef,0xef3fe9a5dcd0c17b2624263088f282bd99330f48cad17281350eff050561c46c,"safes.sol,safe,73",100000000000000000000,10000000000000000000,0,0
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0xAa54F6b87C3D45e3BA837DA5aCe8085636FD0D0B,0,3000000,104046,0x8f088f9200000000000000000000000061e6c271ec98a5e003f267afbf18c753f8081574,0xe84192fc069b373729a7d738c233a59428accfbe04f422dfd7224d7d70b20171,"vulnerables.sol,vul,72",100000000000000000000,100000000000000000000,0,0
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0x248202fA8ab086e5e9a6fb50bc67A0f7882227A4,0,3000000,548957,0x8f088f9200000000000000000000000035e8c06c7f621795eb2a2ca264572ee800500182,0xf29d96dcfad983570505ddde05b3010c63af41651d8b379e8b9561a26651b419,"vulnerables.sol,vul,75",10000000000000000000,82000000000000000000,0,18000000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0xcb83f651CE597998A7DE03830Aae006a75FaA1f1,0,3000000,201295,0x8f088f92000000000000000000000000d8b1e5cd78e8754a19be754a5c74a40cd16c19e1,0xb9ef928307d8a5f581a8f735543e2fb2c9d51a6a1cc70832cef3b47a1f6c61c1,"safes.sol,safe,74",10000000000000000000,10000000000000000000,0,0
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x274BB05b815a768E99610278A35813D278c5071B,0,3000000,225983,0x8f088f920000000000000000000000007785832012db707f9e38ed882193c91c2255aa9e,0xe256df864e09483344e3705fbdec29a9e540e134a0c53c724ea509713eef893b,"safes.sol,safe,77",100000000000000000000,5500000000000000000,0,4500000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x02f13c58385d66f5B92fc3869F9812D004DEF122,0,3000000,601883,0x8f088f9200000000000000000000000040b2ca121b4303aa3f952ee349fa285e4aedae56,0xcb103d166d4bc2ec72d2e07436efb38906f84cc638c98e84697f43d1a27bf5b4,"vulnerables.sol,vul,76",10000000000000000000,65000000000000000000,0,35000000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x69104B3F5F3678d62ccd65Fc0b8655614e10ec6e,0,3000000,201295,0x8f088f920000000000000000000000007b7bbc19faef9a2f2adadccea6120679701ad93d,0xec97e33d239c57120502bc9b74707db40cf7b1ee4bf214e9e93508b90dc93999,"safes.sol,safe,79",10000000000000000000,10000000000000000000,0,0
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0xdf7d5dE776f734f112E247381c8582C9E3Ad2C69,0,3000000,225983,0x8f088f920000000000000000000000004d2b3a8731843808102d8138e7a44fedaf108bfa,0x7740d9115e95b5fba76cc8bf565767429c1641d9c9d571584d7fe2e4f63224e3,"safes.sol,safe,78",100000000000000000000,5500000000000000000,0,4500000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0xe9040Cc8e5bA6022d0eE19af933522fABCdBD9F5,0,3000000,343733,0x8f088f9200000000000000000000000086e7fb5c951871a969be5305fc29098bf0e1fc8a,0xb228297315198ff903383abe7dd8af59cebccbf40894795073f7aa5e2bc737d9,"vulnerables.sol,vul,81",100000000000000000000,97000000000000000000,0,3000000000000000000
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x27609209329b98c8Abe9ca97f2ebc683aaDDd153,0,3000000,346787,0x8f088f92000000000000000000000000a73ed120e83dbd389379c5fe33200aa122906a85,0x352ca0fea2f24ab8f209bdaf5f5536ae6321d88de8640214ea111e3818ea5194,"vulnerables.sol,vul,80",10000000000000000000,90000000000000000000,0,10000000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x040f42C1a7DCe488aF24A5297d803237e70c8Aca,0,3000000,201295,0x8f088f920000000000000000000000002c3741fbab980eb5823152f473e41ce2ba377821,0x80cc24d1cc1a21d2938a58588071a22a0e9b0e5ec8f2e87ec7824419dc187b30,"safes.sol,safe,83",100000000000000000000,10000000000000000000,0,0
